product_name,image,price,link 
MSI GS75 NVIDIA RTX 2070 Super| 16GB| 17.3" 300hz FHD| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT2AWMS_247996_210x210.jpg, £2|499.95 , https://www.overclockers.co.uk/msi-gs75-nvidia-rtx-2070-super-16gb-17.3-300hz-fhd-i7-10750h-gaming-laptop-lt-2aw-ms.html
Acer Predator Helios 300 NVIDIA GTX 1660 Ti| 8GB| 15.6" 144Hz FHD| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT17VAC_249311_210x210.jpg, £1|099.99 , https://www.overclockers.co.uk/acer-predator-helios-300-nvidia-gtx-1660-ti-8gb-15.6-144hz-fhd-i7-10750h-gaming-laptop-lt-17v-ac.html
Lenovo Legion 5i NVIDIA GTX 1650| 8GB| 17.3" FHD IPS 144Hz| Intel i5-10300H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT00KLV_255070_210x210.jpg, £799.99 , https://www.overclockers.co.uk/lenovo-legion-5i-nvidia-gtx-1650-8gb-17.3-fhd-ips-144hz-intel-i5-10300h-gaming-laptop-lt-00k-lv.html
Gigabyte AERO 17 XB NVIDIA RTX 2070 Super| 16GB| 17.3" LG 144Hz| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0B1GI_245129_210x210.jpg, £1|899.95 , https://www.overclockers.co.uk/gigabyte-aero-17-xb-nvidia-rtx-2070-super-16gb-17.3-lg-144hz-i7-10750h-gaming-laptop-lt-0b1-gi.html
HP Pavillion 17-cd1013na NVIDIA GTX 1660 Ti| 8GB| 17.3" 144Hz FHD| Intel i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT050HP_257006_210x210.jpg, £1|099.99 , https://www.overclockers.co.uk/hp-pavillion-17-cd1013na-nvidia-gtx-1660-ti-8gb-17.3-144hz-fhd-intel-i7-10750h-gaming-laptop-lt-050-hp.html
Lenovo Legion 7i NVIDIA RTX 2070 Super| 16GB| 15.6" FHD IPS 240Hz| Intel i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT00ZLV_255180_210x210.jpg, £1|899.95 , https://www.overclockers.co.uk/lenovo-legion-7i-nvidia-rtx-2070-super-16gb-15.6-fhd-ips-240hz-intel-i7-10750h-gaming-laptop-lt-00z-lv.html
ASUS ROG ZEPHYRUS G GA502DU NVIDIA GTX 1660 Ti| 16GB| 15.6" FHD 144Hz| AMD R7-3750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT2BLAS_255843_210x210.jpg, £999.95 , https://www.overclockers.co.uk/asus-rog-zephyrus-g-ga502du-nvidia-gtx-1660-ti-16gb-15.6-fhd-144hz-amd-r7-3750h-gaming-laptop-lt-2bl-as.html
Gigabyte AERO 15 NVIDIA RTX 2080 Super| 32GB 15.6" 4K UHD OLED| i9-10980HK Professional Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0B6GI_245046_210x210.jpg, £3|099.95 , https://www.overclockers.co.uk/gigabyte-aero-15-nvidia-rtx-2080-super-32gb-15.6-4k-uhd-oled-i9-10980hk-professional-laptop-lt-0b6-gi.html
**B Grade** ASUS ROG GU502GU NVIDIA GTX 1660 Ti| 16GB| 15.6" FHD 240Hz| Intel i7-9750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/BG9B8AS_244597_210x210.jpg, £1|099.99 , https://www.overclockers.co.uk/b-grade-asus-rog-gu502gu-nvidia-gtx-1660-ti-16gb-15.6-fhd-240hz-intel-i7-9750h-gaming-laptop-bg-9b8-as.html
Gigabyte AORUS 5 NVIDIA GTX 1660 Ti| 16GB| 15.6" LG 144Hz| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0ASGI_258315_210x210.jpg, £1|299.95 , https://www.overclockers.co.uk/gigabyte-aorus-5-nvidia-gtx-1660-ti-16gb-15.6-lg-144hz-i7-10750h-gaming-laptop-lt-0as-gi.html
Gigabyte AERO 15 NVIDIA RTX 2080 Super| 32GB 15.6" 4K UHD OLED| i7-10875H Professional Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0B7GI_245037_210x210.jpg, £2|899.99 , https://www.overclockers.co.uk/gigabyte-aero-15-nvidia-rtx-2080-super-32gb-15.6-4k-uhd-oled-i7-10875h-professional-laptop-lt-0b7-gi.html
Gigabyte AERO 17 HDR YB NVIDIA RTX 2080 Super| 32GB| 17.3" 4K UHD| i7-10875H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0AVGI_245080_210x210.jpg, £3|099.95 , https://www.overclockers.co.uk/gigabyte-aero-17-hdr-yb-nvidia-rtx-2080-super-32gb-17.3-4k-uhd-i7-10875h-gaming-laptop-lt-0av-gi.html
MSI GS66 NVIDIA RTX 2070 Super| 32GB| 15.6" 300hz FHD| i7-10875H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT2C0MS_252851_210x210.jpg, £2|499.95 , https://www.overclockers.co.uk/msi-gs66-nvidia-rtx-2070-super-32gb-15.6-300hz-fhd-i7-10875h-gaming-laptop-lt-2c0-ms.html
Gigabyte AORUS 15G NVIDIA RTX 2080 Super| 32GB| 15.6" 240Hz| i9-10980HK Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0AEGI_245284_210x210.jpg, £2|699.99 , https://www.overclockers.co.uk/gigabyte-aorus-15g-nvidia-rtx-2080-super-32gb-15.6-240hz-i9-10980hk-gaming-laptop-lt-0ae-gi.html
Gigabyte AERO 15 NVIDIA RTX 2070 Super| 32GB 15.6" 4K UHD OLED| i9-10980HK Professional Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0B8GI_245028_210x210.jpg, £2|749.99 , https://www.overclockers.co.uk/gigabyte-aero-15-nvidia-rtx-2070-super-32gb-15.6-4k-uhd-oled-i9-10980hk-professional-laptop-lt-0b8-gi.html
Gigabyte AERO 17 HDR XB NVIDIA RTX 2070 Super| 16GB| 17.3" 4K UHD| i7-10875H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0AXGI_245096_210x210.jpg, £2|399.99 , https://www.overclockers.co.uk/gigabyte-aero-17-hdr-xb-nvidia-rtx-2070-super-16gb-17.3-4k-uhd-i7-10875h-gaming-laptop-lt-0ax-gi.html
Gigabyte AERO 17 HDR XB NVIDIA RTX 2070 Super| 32GB| 17.3" 4K UHD| i9-10980HK Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0AWGI_245088_210x210.jpg, £2|899.99 , https://www.overclockers.co.uk/gigabyte-aero-17-hdr-xb-nvidia-rtx-2070-super-32gb-17.3-4k-uhd-i9-10980hk-gaming-laptop-lt-0aw-gi.html
MSI 180W New Slim AC Adapter + UK Power Cord For GS65 / GS75 and P65 Laptops, https://www.overclockers.co.uk/media/image/thumbnail/LT2APMS_252525_210x210.jpg, £79.99 , https://www.overclockers.co.uk/msi-180w-new-slim-ac-adapter-uk-power-cord-for-gs65-gs75-and-p65-laptops-lt-2ap-ms.html
Lenovo Legion 5i NVIDIA GTX 1650 Ti| 8GB| 17.3" FHD IPS 144Hz| Intel i5-10300H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT00LLV_255086_210x210.jpg, £899.99 , https://www.overclockers.co.uk/lenovo-legion-5i-nvidia-gtx-1650-ti-8gb-17.3-fhd-ips-144hz-intel-i5-10300h-gaming-laptop-lt-00l-lv.html
Gigabyte AERO 15 NVIDIA RTX 2070| 16GB 15.6" 144Hz IPS| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0BFGI_244961_210x210.jpg, £1|749.95 , https://www.overclockers.co.uk/gigabyte-aero-15-nvidia-rtx-2070-16gb-15.6-144hz-ips-i7-10750h-gaming-laptop-lt-0bf-gi.html
Akasa Echo Compact and Light Foldable Notebook Cooler (AK-NBC-29BK), https://www.overclockers.co.uk/media/image/thumbnail/LT000AK_33718_210x210.jpg, £12.95 , https://www.overclockers.co.uk/akasa-echo-compact-and-light-foldable-notebook-cooler-ak-nbc-29bk-lt-000-ak.html
Acer Predator Triton 500 NVIDIA RTX 2070| 16GB| 15.6" 144Hz FHD| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT17XAC_259912_210x210.jpg, £1|799.99 , https://www.overclockers.co.uk/acer-predator-triton-500-nvidia-rtx-2070-16gb-15.6-144hz-fhd-i7-10750h-gaming-laptop-lt-17x-ac.html
Acer Predator Triton 500 NVIDIA RTX 2070 Super| 16GB| 15.6" 300Hz| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT17YAC_259910_210x210.jpg, £1|999.99 , https://www.overclockers.co.uk/acer-predator-triton-500-nvidia-rtx-2070-super-16gb-15.6-300hz-i7-10750h-gaming-laptop-lt-17y-ac.html
ASUS Argo Backpack 16" Black, https://www.overclockers.co.uk/media/image/thumbnail/KB031AS_178752_210x210.jpg, £29.99 , https://www.overclockers.co.uk/asus-argo-backpack-16-black-kb-031-as.html
**B Grade** MSI GS66 NVIDIA RTX 2070| 16GB| 15.6" 240hz FHD| i7-10750H Gaming laptop (LT-2B3-MS), https://www.overclockers.co.uk/media/image/thumbnail/BG59WMS_259213_210x210.jpg, £1|799.99 , https://www.overclockers.co.uk/b-grade-msi-gs66-nvidia-rtx-2070-16gb-15.6-240hz-fhd-i7-10750h-gaming-laptop-lt-2b3-ms-bg-59w-ms.html
**OPEN BOX** Gigabyte AERO 15 NVIDIA RTX 2070 Super| 16GB 15.6" 144Hz IPS| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0CCGI_265871_210x210.jpg, £1|599.95 , https://www.overclockers.co.uk/open-box-gigabyte-aero-15-nvidia-rtx-2070-super-16gb-15.6-144hz-ips-i7-10750h-gaming-laptop-lt-0cc-gi.html
Gigabyte AORUS 17G NVIDIA RTX 2070| 16GB| 17.3" FHD 300Hz| i7-10875H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0CAGI_264159_210x210.jpg, £1|999.99 , https://www.overclockers.co.uk/gigabyte-aorus-17g-nvidia-rtx-2070-16gb-17.3-fhd-300hz-i7-10875h-gaming-laptop-lt-0ca-gi.html
Gigabyte AORUS 17G NVIDIA RTX 2080 Super| 16GB| 17.3" FHD 300Hz| i7-10875H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0C7GI_264132_210x210.jpg, £2|699.99 , https://www.overclockers.co.uk/gigabyte-aorus-17g-nvidia-rtx-2080-super-16gb-17.3-fhd-300hz-i7-10875h-gaming-laptop-lt-0c7-gi.html
Gigabyte AORUS 17G NVIDIA RTX 2070 Super| 16GB| 17.3" FHD 300Hz| i7-10875H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0C8GI_264141_210x210.jpg, £2|299.99 , https://www.overclockers.co.uk/gigabyte-aorus-17g-nvidia-rtx-2070-super-16gb-17.3-fhd-300hz-i7-10875h-gaming-laptop-lt-0c8-gi.html
Gigabyte AORUS 17X NVIDIA RTX 2070| 16GB| 17.3" FHD 300Hz| i7-10875H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0C2GI_264088_210x210.jpg, £2|299.99 , https://www.overclockers.co.uk/gigabyte-aorus-17x-nvidia-rtx-2070-16gb-17.3-fhd-300hz-i7-10875h-gaming-laptop-lt-0c2-gi.html
Gigabyte AORUS 15G NVIDIA RTX 2070 Super| 16GB| 15.6" FHD 300Hz| i7-10875H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0C5GI_264114_210x210.jpg, £2|199.95 , https://www.overclockers.co.uk/gigabyte-aorus-15g-nvidia-rtx-2070-super-16gb-15.6-fhd-300hz-i7-10875h-gaming-laptop-lt-0c5-gi.html
